INFO 2025-01-18 23:24:12,300 basehttp 7384 22032 "GET /api/testcases/?project=1 HTTP/1.1" 200 6570
INFO 2025-01-18 23:24:13,899 basehttp 7384 22032 "GET /api/testcases/14/ HTTP/1.1" 200 908
INFO 2025-01-18 23:24:13,973 basehttp 7384 22032 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
INFO 2025-01-18 23:24:18,853 basehttp 7384 22032 "GET /api/users/get_current_user/ HTTP/1.1" 200 170
INFO 2025-01-18 23:24:18,857 basehttp 7384 20312 "GET /api/folders/?project=1 HTTP/1.1" 200 2702
INFO 2025-01-18 23:24:18,936 basehttp 7384 20312 "GET /api/testcases/?project=1 HTTP/1.1" 200 6570
INFO 2025-01-18 23:24:21,274 basehttp 7384 20312 "GET /api/testcases/14/ HTTP/1.1" 200 908
INFO 2025-01-18 23:24:21,353 basehttp 7384 20312 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
INFO 2025-01-18 23:24:23,069 basehttp 7384 20312 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
INFO 2025-01-18 23:24:23,180 basehttp 7384 20312 "POST /api/testcases/14/execute/ HTTP/1.1" 200 72
